"tss_id"	"gene_symbol"	"chr"	"strand"	"promoter"	"position"	"transcripts"
"ABL2_P2"	"ABL2"	"chr1"	"-"	"P2"	179229677	"ENST00000502732"
"ABLIM1_P1"	"ABLIM1"	"chr10"	"-"	"P1"	114526910	"ENST00000392952"
"ABLIM1_ENST00000277895(W)"	"ABLIM1"	"chr10"	"-"	"ENST00000277895(W)"	114658234	NA
"ABLIM1_P2"	"ABLIM1"	"chr10"	"-"	"P2"	114684423	"ENST00000392955"
"ABLIM2_P1"	"ABLIM2"	"chr4"	"-"	"P1"	8158813	"ENST00000361737"
"ABLIM3_P1"	"ABLIM3"	"chr5"	"+"	"P1"	149141505	"ENST00000326685"
"ABO_P2(W)"	"ABO"	"chr9"	"-"	"P2(W)"	133255542	NA
"ABO_P1"	"ABO"	"chr9"	"-"	"P1"	133275201	"ENST00000453660"
"ABR_P2"	"ABR"	"chr17"	"-"	"P2"	1109102	"ENST00000291107"
"ABR_P1"	"ABR"	"chr17"	"-"	"P1"	1179977	"ENST00000302538"
"ABRA_P1"	"ABRA"	"chr8"	"-"	"P1"	106770242	"ENST00000311955"
"ABRACL_P1"	"ABRACL"	"chr6"	"+"	"P1"	139028745	"ENST00000367660"
"ABRAXAS1_P1"	"ABRAXAS1"	"chr4"	"-"	"P1"	83485100	"ENST00000321945"
"ABRAXAS2_P1"	"ABRAXAS2"	"chr10"	"+"	"P1"	124801819	"ENST00000298492"
"ABT1_P1"	"ABT1"	"chr6"	"+"	"P1"	26596976	"ENST00000274849"
"ABTB1_P1"	"ABTB1"	"chr3"	"+"	"P1"	127672956	"ENST00000483857"
"ABTB2_P1"	"ABTB2"	"chr11"	"-"	"P1"	34358008	"ENST00000435224"
"AC000120.2_P1"	"AC000120.2"	"chr7"	"-"	"P1"	92142952	"ENST00000435873"
"AC002094.3_P1"	"AC002094.3"	"chr17"	"-"	"P1"	28367873	"ENST00000555059"
"AC002985.1_P1"	"AC002985.1"	"chr19"	"-"	"P1"	18934397	"ENST00000596918"
"AC002996.1_P1"	"AC002996.1"	"chr12"	"+"	"P1"	111753890	"ENST00000546840"
"AC003002.2_P1"	"AC003002.2"	"chr19"	"+"	"P1"	57394183	"ENST00000597410"
"AC004233.2_P1"	"AC004233.2"	"chr16"	"+"	"P1"	2988262	"ENST00000573315"
"AC004593.3_P1"	"AC004593.3"	"chr7"	"+"	"P1"	29122435	"ENST00000644824"
"AC004691.2_P1"	"AC004691.2"	"chr7"	"+"	"P1"	30852273	"ENST00000509504"
"AC004754.1_P1"	"AC004754.1"	"chr16"	"+"	"P1"	249547	"ENST00000600536"
"AC004805.1_P1"	"AC004805.1"	"chr17"	"-"	"P1"	65641033	"ENST00000577662"
"AC004832.3_P1"	"AC004832.3"	"chr22"	"+"	"P1"	30409103	"ENST00000454552"
"AC004997.1_P1"	"AC004997.1"	"chr22"	"-"	"P1"	30295843	"ENST00000330168"
"AC004997.1_P2"	"AC004997.1"	"chr22"	"-"	"P2"	30299476	"ENST00000434987"
"AC005041.1_P1"	"AC005041.1"	"chr2"	"-"	"P1"	74421611	"ENST00000517883"
"AC005154.5_P1"	"AC005154.5"	"chr7"	"-"	"P1"	30551150	"ENST00000598361"
"AC005324.3_P1"	"AC005324.3"	"chr17"	"-"	"P1"	15651645	"ENST00000455584"
"AC005551.1_P1"	"AC005551.1"	"chr19"	"-"	"P1"	3483430	"ENST00000641816"
"AC005702.1_P1"	"AC005702.1"	"chr17"	"+"	"P1"	59940908	"ENST00000591035"
"AC005779.2_P1"	"AC005779.2"	"chr19"	"+"	"P1"	45180261	"ENST00000593083"
"AC005837.2_P1"	"AC005837.2"	"chr17"	"+"	"P1"	76732978	"ENST00000587459"
"AC006030.1_P1"	"AC006030.1"	"chr2"	"-"	"P1"	74363377	"ENST00000451608"
"AC006254.1_P2"	"AC006254.1"	"chr3"	"-"	"P2"	52833645	"ENST00000513520"
"AC006254.1_P1"	"AC006254.1"	"chr3"	"-"	"P1"	52835729	"ENST00000468472"
"AC006978.2_P1"	"AC006978.2"	"chr7"	"+"	"P1"	30362400	"ENST00000442800"
"AC007731.5_P1"	"AC007731.5"	"chr22"	"-"	"P1"	20446620	"ENST00000429594"
"AC007846.2_P1"	"AC007846.2"	"chr17"	"+"	"P1"	5772926	"ENST00000573619"
"AC007906.2_P1"	"AC007906.2"	"chr16"	"-"	"P1"	53052933	"ENST00000562178"
"AC008073.3_P1"	"AC008073.3"	"chr2"	"+"	"P1"	24124362	"ENST00000610442"
"AC008073.3_P2"	"AC008073.3"	"chr2"	"+"	"P2"	24172798	"ENST00000648005"
"AC008162.2_P1"	"AC008162.2"	"chrX"	"-"	"P1"	120878924	"ENST00000613352"
"AC008403.1_P1"	"AC008403.1"	"chr19"	"+"	"P1"	48465837	"ENST00000595676"
"AC008537.1_P1"	"AC008537.1"	"chr19"	"+"	"P1"	40801297	"ENST00000601627"
"AC008575.1_P1"	"AC008575.1"	"chr5"	"+"	"P1"	112827213	"ENST00000520401"
"AC008676.3_P1"	"AC008676.3"	"chr5"	"-"	"P1"	157460088	"ENST00000519499"
"AC008687.4_P1"	"AC008687.4"	"chr19"	"-"	"P1"	49019498	"ENST00000600007"
"AC008763.3_P1"	"AC008763.3"	"chr19"	"+"	"P1"	7678034	"ENST00000597959"
"AC008878.2_P1"	"AC008878.2"	"chr19"	"+"	"P1"	7534004	"ENST00000601870"
"AC008878.3_P1"	"AC008878.3"	"chr19"	"+"	"P1"	7382834	"ENST00000617428"
"AC008982.1_P1"	"AC008982.1"	"chr19"	"-"	"P1"	38840320	"ENST00000594769"
"AC009119.2_P1"	"AC009119.2"	"chr16"	"+"	"P1"	83931346	"ENST00000566667"
"AC009163.2_P1"	"AC009163.2"	"chr16"	"-"	"P1"	75545428	"ENST00000460606"
"AC009879.2_P1"	"AC009879.2"	"chr8"	"+"	"P1"	66430185	"ENST00000523113"
"AC010255.3_P1"	"AC010255.3"	"chr5"	"+"	"P1"	122160176	"ENST00000509403"
"AC010325.1_P1"	"AC010325.1"	"chr19"	"-"	"P1"	50786160	"ENST00000563228"
"AC010327.1_P1"	"AC010327.1"	"chr19"	"-"	"P1"	55160678	"ENST00000587871"
"AC010422.3_P1"	"AC010422.3"	"chr19"	"-"	"P1"	12648397	"ENST00000597692"
"AC010422.6_P1"	"AC010422.6"	"chr19"	"-"	"P1"	12580975	"ENST00000593682"
"AC010531.1_P1"	"AC010531.1"	"chr16"	"-"	"P1"	87334273	"ENST00000568879"
"AC010542.3_P1"	"AC010542.3"	"chr16"	"-"	"P1"	66516833	"ENST00000561527"
"AC010615.4_P1"	"AC010615.4"	"chr19"	"+"	"P1"	21405159	"ENST00000600810"
"AC010616.1_P1"	"AC010616.1"	"chr19"	"-"	"P1"	41928516	"ENST00000597630"
"AC010619.1_P1"	"AC010619.1"	"chr19"	"+"	"P1"	49462752	"ENST00000599536"
"AC010646.1_P1"	"AC010646.1"	"chr19"	"-"	"P1"	17255448	"ENST00000594059"
"AC011005.1_P1"	"AC011005.1"	"chr7"	"+"	"P1"	129126518	"ENST00000467614"
"AC011330.3_P1"	"AC011330.3"	"chr15"	"-"	"P1"	43632283	"ENST00000643290"
"AC011455.2_P1"	"AC011455.2"	"chr19"	"-"	"P1"	38949855	"ENST00000599996"
"AC011462.1_P1"	"AC011462.1"	"chr19"	"+"	"P1"	41376533	"ENST00000540732"
"AC011479.1_P1"	"AC011479.1"	"chr19"	"+"	"P1"	38289151	"ENST00000587519"
"AC011499.1_P1"	"AC011499.1"	"chr19"	"-"	"P1"	5785755	"ENST00000586012"
"AC011511.4_P1"	"AC011511.4"	"chr19"	"-"	"P1"	10320678	"ENST00000586529"
"AC011530.1_P1"	"AC011530.1"	"chr19"	"-"	"P1"	45785973	"ENST00000593999"
"AC011604.2_P1"	"AC011604.2"	"chr12"	"+"	"P1"	20815674	"ENST00000540229"
"AC012213.5_P1"	"AC012213.5"	"chr8"	"-"	"P1"	103501907	"ENST00000649416"
"AC012531.2_P1"	"AC012531.2"	"chr12"	"+"	"P1"	53986269	"ENST00000513209"
"AC012651.1_P1"	"AC012651.1"	"chr15"	"+"	"P1"	42348103	"ENST00000483208"
"AC013394.1_P1"	"AC013394.1"	"chr15"	"+"	"P1"	92886590	"ENST00000630790"
"AC013470.2_P1"	"AC013470.2"	"chr7"	"+"	"P1"	12504441	"ENST00000443874"
"AC015688.4_P1"	"AC015688.4"	"chr17"	"+"	"P1"	27623364	"ENST00000584605"
"AC015802.6_P1"	"AC015802.6"	"chr17"	"-"	"P1"	76570928	"ENST00000640006"
"AC017083.3_P1"	"AC017083.3"	"chr2"	"-"	"P1"	68261230	"ENST00000406334"
"AC018512.1_P1"	"AC018512.1"	"chr15"	"-"	"P1"	43799133	"ENST00000417761"
"AC018554.3_P1"	"AC018554.3"	"chr16"	"-"	"P1"	60359480	"ENST00000614215"
"AC019117.2_P1"	"AC019117.2"	"chr7"	"+"	"P1"	17299238	"ENST00000637807"
"AC020636.2_P1"	"AC020636.2"	"chr3"	"-"	"P1"	150941743	"ENST00000569170"
"AC020907.6_P1"	"AC020907.6"	"chr19"	"+"	"P1"	35106510	"ENST00000648240"
"AC020909.1_P1"	"AC020909.1"	"chr19"	"+"	"P1"	50415799	"ENST00000599632"
"AC020922.1_P1"	"AC020922.1"	"chr19"	"-"	"P1"	55359516	"ENST00000591954"
"AC021072.1_P1"	"AC021072.1"	"chr12"	"+"	"P1"	53241900	"ENST00000635789"
"AC021097.3_P1"	"AC021097.3"	"chr7"	"-"	"P1"	151210378	"ENST00000644661"
"AC021660.3_P1"	"AC021660.3"	"chr3"	"-"	"P1"	98585485	"ENST00000512905"
"AC022167.5_P1"	"AC022167.5"	"chr16"	"+"	"P1"	8882355	"ENST00000637237"
"AC022335.1_P1"	"AC022335.1"	"chr12"	"+"	"P1"	21047179	"ENST00000543498"
"AC022414.1_P1"	"AC022414.1"	"chr5"	"+"	"P1"	77086732	"ENST00000646262"
"AC023055.1_P2"	"AC023055.1"	"chr12"	"-"	"P2"	55822659	"ENST00000550124"
"AC023055.1_P1"	"AC023055.1"	"chr12"	"-"	"P1"	55827546	"ENST00000546837"
"AC025263.2_P1"	"AC025263.2"	"chr12"	"+"	"P1"	69801669	"ENST00000550437"
"AC025283.2_P1"	"AC025283.2"	"chr16"	"+"	"P1"	3382113	"ENST00000618352"
"AC025283.3_P1"	"AC025283.3"	"chr16"	"+"	"P1"	3365120	"ENST00000576906"
"AC025287.4_P1"	"AC025287.4"	"chr16"	"-"	"P1"	75677009	"ENST00000640173"
"AC026398.1_P1"	"AC026398.1"	"chr5"	"-"	"P1"	131994599	"ENST00000413683"
"AC026464.3_P1"	"AC026464.3"	"chr16"	"-"	"P1"	69356306	"ENST00000563634"
"AC026464.4_P1"	"AC026464.4"	"chr16"	"+"	"P1"	69299682	"ENST00000570054"
"AC026464.6_P1"	"AC026464.6"	"chr16"	"-"	"P1"	69334871	"ENST00000562949"
"AC026954.2_P1"	"AC026954.2"	"chr17"	"-"	"P1"	7319075	"ENST00000315601"
"AC034102.2_P1"	"AC034102.2"	"chr12"	"+"	"P1"	56101331	"ENST00000548861"
"AC036214.3_P1"	"AC036214.3"	"chr8"	"-"	"P1"	80080830	"ENST00000522938"
"AC046185.1_P1"	"AC046185.1"	"chr17"	"-"	"P1"	63752097	"ENST00000580553"
"AC067752.1_P1"	"AC067752.1"	"chr10"	"+"	"P1"	62520474	"ENST00000395251"
"AC068533.4_P1"	"AC068533.4"	"chr7"	"+"	"P1"	66087761	"ENST00000450043"
"AC068547.1_P1"	"AC068547.1"	"chr2"	"-"	"P1"	151973952	"ENST00000637224"
"AC068580.4_P2"	"AC068580.4"	"chr11"	"-"	"P2"	1753654	"ENST00000636579"
"AC068580.4_P3"	"AC068580.4"	"chr11"	"-"	"P3"	1757422	"ENST00000427721"
"AC068631.2_P1"	"AC068631.2"	"chr3"	"+"	"P1"	186581995	"ENST00000418776"
"AC068790.8_P1"	"AC068790.8"	"chr12"	"+"	"P1"	123973944	"ENST00000618862"
"AC068946.2_P1"	"AC068946.2"	"chr2"	"-"	"P1"	219222738	"ENST00000446716"
"AC068987.5_P1"	"AC068987.5"	"chr12"	"-"	"P1"	51814926	"ENST00000642069"
"AC073111.5_P1"	"AC073111.5"	"chr7"	"+"	"P1"	150405313	"ENST00000641234"
"AC073610.2_P1"	"AC073610.2"	"chr12"	"-"	"P1"	48939663	"ENST00000537495"
"AC073612.1_P1"	"AC073612.1"	"chr12"	"+"	"P1"	71674204	"ENST00000548802"
"AC074143.1_P1"	"AC074143.1"	"chr16"	"+"	"P1"	67163761	"ENST00000580114"
"AC083800.1_P1"	"AC083800.1"	"chr3"	"+"	"P1"	119146987	"ENST00000490594"
"AC084121.11_P1"	"AC084121.11"	"chr8"	"+"	"P1"	7723091	"ENST00000647769"
"AC084121.12_P1"	"AC084121.12"	"chr8"	"+"	"P1"	7738387	"ENST00000647775"
"AC084121.13_P1"	"AC084121.13"	"chr8"	"+"	"P1"	7768977	"ENST00000533716"
"AC084121.5_P1"	"AC084121.5"	"chr8"	"+"	"P1"	7761330	"ENST00000648344"
"AC084121.6_P1"	"AC084121.6"	"chr8"	"+"	"P1"	7730739	"ENST00000648174"
"AC084121.7_P1"	"AC084121.7"	"chr8"	"+"	"P1"	7753682	"ENST00000647903"
"AC084121.8_P1"	"AC084121.8"	"chr8"	"+"	"P1"	7746034	"ENST00000650426"
"AC084121.9_P1"	"AC084121.9"	"chr8"	"+"	"P1"	7715443	"ENST00000648315"
"AC087289.3_P1"	"AC087289.3"	"chr17"	"-"	"P1"	75909817	"ENST00000590947"
"AC087289.3_P3"	"AC087289.3"	"chr17"	"-"	"P3"	75913729	"ENST00000587556"
"AC087289.3_P2"	"AC087289.3"	"chr17"	"-"	"P2"	75930129	"ENST00000593156"
"AC087498.1_P1"	"AC087498.1"	"chr17"	"+"	"P1"	3385930	"ENST00000572493"
"AC087721.2_P1"	"AC087721.2"	"chr15"	"+"	"P1"	41284008	"ENST00000649527"
"AC090004.1_P1"	"AC090004.1"	"chr3"	"+"	"P1"	14135217	"ENST00000608606"
"AC090004.1_P2"	"AC090004.1"	"chr3"	"+"	"P2"	14137144	"ENST00000601399"
"AC090004.1_P3"	"AC090004.1"	"chr3"	"+"	"P3"	14141728	"ENST00000626721"
"AC090227.1_P1"	"AC090227.1"	"chr18"	"-"	"P1"	49837582	"ENST00000590532"
"AC090517.4_P1"	"AC090517.4"	"chr15"	"-"	"P1"	56918447	"ENST00000559000"
"AC091057.6_P1"	"AC091057.6"	"chr15"	"+"	"P1"	30626139	"ENST00000563110"
"AC092017.3_P1"	"AC092017.3"	"chr1"	"-"	"P1"	211188533	"ENST00000638880"
"AC092073.1_P1"	"AC092073.1"	"chr19"	"+"	"P1"	34400023	"ENST00000606020"
"AC092111.3_P1"	"AC092111.3"	"chr12"	"+"	"P1"	8138140	"ENST00000402465"
"AC092143.1_P1"	"AC092143.1"	"chr16"	"+"	"P1"	89918862	"ENST00000556922"
"AC092329.3_P1"	"AC092329.3"	"chr19"	"-"	"P1"	23274232	"ENST00000611392"
"AC092442.1_P1"	"AC092442.1"	"chr4"	"-"	"P1"	6070162	"ENST00000636216"
"AC092835.1_P1"	"AC092835.1"	"chr2"	"+"	"P1"	95207521	"ENST00000425953"
"AC093155.3_P1"	"AC093155.3"	"chr1"	"+"	"P1"	86993009	"ENST00000370548"
"AC093323.1_P1"	"AC093323.1"	"chr4"	"+"	"P1"	6674076	"ENST00000635031"
"AC093512.2_P1"	"AC093512.2"	"chr16"	"+"	"P1"	30053163	"ENST00000338110"
"AC093525.2_P1"	"AC093525.2"	"chr16"	"+"	"P1"	2496032	"ENST00000564543"
"AC093827.5_P1"	"AC093827.5"	"chr4"	"-"	"P1"	86936179	"ENST00000503001"
"AC096582.3_P1"	"AC096582.3"	"chr7"	"-"	"P1"	45873511	"ENST00000636578"
"AC096887.1_P1"	"AC096887.1"	"chr3"	"-"	"P1"	53099453	"ENST00000607495"
"AC097625.1_P1"	"AC097625.1"	"chrX"	"-"	"P1"	15675377	"ENST00000649243"
"AC097636.1_P1"	"AC097636.1"	"chr3"	"+"	"P1"	51817578	"ENST00000456080"
"AC097637.1_P2"	"AC097637.1"	"chr3"	"-"	"P2"	52229773	"ENST00000478201"
"AC097637.1_P1"	"AC097637.1"	"chr3"	"-"	"P1"	52231190	"ENST00000494383"
"AC098582.1_P1"	"AC098582.1"	"chr4"	"+"	"P1"	88523875	"ENST00000513325"
"AC099489.1_P1"	"AC099489.1"	"chr16"	"-"	"P1"	11383705	"ENST00000595168"
"AC099489.1_P4"	"AC099489.1"	"chr16"	"-"	"P4"	11390454	"ENST00000600548"
"AC099489.1_P2"	"AC099489.1"	"chr16"	"-"	"P2"	11392065	"ENST00000599216"
"AC099489.1_P5"	"AC099489.1"	"chr16"	"-"	"P5"	11402264	"ENST00000612858"
